Reviews,Positive,Negative,Neutral
e think phone suppose new refurbish arrive fairly quickly order maybe week phone work sim card buy drawback battery drain hrs short call need charge time get hotel not use feature need phone reservation meet friend,0.086,0.0,0.914
phone slender compact internet access good phone price recommend product,0.403,0.0,0.597
easy use basic phone work network voice text use phone work great,0.412,0.0,0.588
basic phone pay graphic little rough usage little difficult,0.0,0.34,0.66
plan phone home belize unlocked get home belize phone actually unlocked matter fact pay purchase price unlocked buy att unlocked phone especially use overseas let refund money misrepresentation stink,0.033,0.214,0.753
att refuse activate phone say steal almart finally return phone refund order phone,0.0,0.329,0.671
simply need cellphone satisfied recommend need easy phone operate thx,0.641,0.0,0.359
need plain simple phone fit bill suppose capability use eg texte browser etc phone plan access need care hear person end phone clearly hear phone ring hear voicemail message person talk hear phone satisfie requirement costly frill ok people wish spend outrageous amount money phone use pretty picture text drive use ignore life go close personal iming gpsing megabuck minicommunication system want talk hear hear normal telephone conversation cell phone,0.21,0.081,0.708
battery barely last hour make frustrating use,0.0,0.326,0.674
phone lack essential feature limited functionality,0.0,0.512,0.488
camera quality abysmal photo turn blurry grainy,0.0,0.189,0.811
battery drain unbelievably fast minimal use,0.0,0.0,1.0
display poor quality low resolution dull color,0.0,0.664,0.336
complete waste money well option available,0.236,0.315,0.449
phone frustrating experience poor battery life feature,0.0,0.545,0.455
regret buy phone headache,0.0,0.483,0.517
camera massive disappointment worth purchase,0.232,0.402,0.366
battery bad ve see phone not half day,0.0,0.333,0.667
phone feature practically useless make poor choice,0.0,0.541,0.459
not expect good photo camera quality horrible,0.0,0.542,0.458
battery drain rapidly m constantly charge,0.0,0.0,1.0
display unimpressive video image look terrible,0.0,0.579,0.421
feel like throw money drain purchase,0.333,0.0,0.667
feature phone big letdown well look,0.296,0.0,0.704
phone rollercoaster frustration disappointment,0.0,0.762,0.238
battery hopeless not handle day use,0.0,0.375,0.625
display mediocre enjoyable use,0.492,0.0,0.508
overpriced phone complete disappointment,0.0,0.524,0.476
camera quality ruin precious memory poor performance,0.253,0.473,0.274
abysmal battery life major downside,0.0,0.333,0.667
phone feature joke worth money,0.577,0.0,0.423
deeply regret purchase frustration,0.0,0.764,0.236
camera disaster not decent photo,0.0,0.506,0.494
battery will not hour unacceptable,0.383,0.0,0.617
s value money phone ripoff,0.444,0.0,0.556
display quality disastrous worth,0.244,0.5,0.256
phone feature utterly useless practical,0.0,0.436,0.564
battery drain instantly make impractical use,0.0,0.0,1.0
avoid phone cost terrible choice,0.0,0.639,0.361
battery life nightmare die hour,0.0,0.494,0.506
phone lack essential feature frustrating use,0.0,0.565,0.435
camera quality awful picture turn blurry unusable,0.0,0.468,0.532
battery performance abysmal need constant charging,0.0,0.0,1.0
display quality disastrous pleasant look,0.324,0.382,0.294
feel like waste money phone worth,0.431,0.275,0.294
phone endlessly frustrating constant letdown,0.0,0.42,0.58
regret buy phone disappointing experience,0.0,0.667,0.333
camera letdown fail capture good photo,0.279,0.337,0.385
battery practically worthless not half day,0.0,0.367,0.633
phone feature pointless offer real value,0.324,0.0,0.676
not expect decent photo camera quality dreadful,0.0,0.326,0.674
battery drain rapidly make unusable extend period,0.221,0.0,0.779
display unimpressive enjoyable use,0.397,0.329,0.274
feel like throw money drain purchase,0.333,0.0,0.667
feature phone major letdown,0.0,0.0,1.0
phone constant source frustration disappointment,0.0,0.681,0.319
battery hopeless not handle basic usage,0.0,0.375,0.625
display subpar ruin overall experience,0.0,0.487,0.513
overpriced phone complete disappointment,0.0,0.524,0.476
camera quality ruin photo terrible choice,0.0,0.633,0.367
abysmal battery life major downside,0.0,0.333,0.667
phone feature joke worth money,0.577,0.0,0.423
deeply regret purchase bring frustration,0.0,0.674,0.326
camera disaster not capture good shot,0.0,0.619,0.381
battery drain instantly impractical use,0.0,0.0,1.0
s value money phone ripoff,0.444,0.0,0.556
display quality disastrous worth,0.244,0.5,0.256
phone feature utterly useless impractical,0.0,0.436,0.564
battery drain minute unusable,0.0,0.0,1.0
avoid phone cost terrible choice,0.0,0.639,0.361
battery barely last hour make frustrating use,0.0,0.326,0.674
phone lack essential feature limited functionality,0.0,0.512,0.488
camera quality abysmal photo turn blurry grainy,0.0,0.189,0.811
battery drain unbelievably fast minimal use,0.0,0.0,1.0
display poor quality low resolution dull color,0.0,0.664,0.336
complete waste money well option available,0.236,0.315,0.449
phone frustrating experience poor battery life feature,0.0,0.545,0.455
regret buy phone headache,0.0,0.483,0.517
camera massive disappointment worth purchase,0.232,0.402,0.366
battery bad ve see phone not half day,0.0,0.333,0.667
battery life acceptable phone limitation,0.307,0.293,0.4
offer basic feature outstanding,0.571,0.0,0.429
camera perform decently everyday use,0.0,0.0,1.0
battery life reasonable get job,0.0,0.0,1.0
display acceptable topoftheline work,0.434,0.0,0.566
average phone price well option,0.344,0.0,0.656
phone feature hit miss work not,0.0,0.242,0.758
camera moment inconsistent,0.0,0.0,1.0
battery life unimpressive need frequent charging,0.0,0.324,0.676
display lackluster not impress,0.0,0.445,0.555
good investment well phone price,0.625,0.0,0.375
phone feature disappointing limited,0.0,0.718,0.282
camera fall short expectation reliable,0.0,0.0,1.0
battery life awful constant struggle,0.0,0.639,0.361
display dull fail deliver enjoyable experience,0.24,0.512,0.248
waste money phone regrettable purchase,0.0,0.67,0.33
phone feature major letdown not meet expectation,0.0,0.0,1.0
phone neverende source frustration,0.0,0.508,0.492
battery hopeless not handle basic task,0.0,0.375,0.625
display quality dreadful worth,0.279,0.426,0.294
phone feature subpar disappointing,0.0,0.516,0.484
camera disappointment not meet expectation,0.0,0.452,0.548
battery constantly fail hour,0.0,0.538,0.462
display mediocre enjoyable use,0.492,0.0,0.508
phone outstanding value price exceed expectation,0.615,0.0,0.385
perfect need use call work flawlessly,0.579,0.0,0.421
great phone prefer simplicity meet need,0.451,0.0,0.549
